,product_name,link,price,details,gender,product_type
17,100% WOOL COAT - LIMITED EDITION,https://www.zara.com/in/en/100-wool-coat---limited-edition-p05841253.html,193.03127999999998,Relaxed fit coat made of wool. Peak lapel collar and long sleeves. Welt pockets at the hip. Back vent at the centre of the hem. Button-up front.,Men,outerwear
18,TECHNICAL TRENCH COAT,https://www.zara.com/in/en/technical-trench-coat-p03286500.html,115.77047999999999,Trench coat made of technical fabric. Lapel collar and long sleeves. Hip welt pockets. Interior pocket detail. Central back vent at the hem. Button-up front.,Men,outerwear
19,OVERSIZE TRENCH COAT - LIMITED EDITION,https://www.zara.com/in/en/oversize-trench-coat---limited-edition-p05851368.html,168.88728,"Collared oversize fit trench coat made of textured cotton. Featuring long sleeves, welt pockets at the hip and an inner pocket detail. Matching fabric belt around the waist. Central back pleat and front button fastening.",Men,outerwear
20,DOUBLE-BREASTED TECHNICAL TRENCH COAT,https://www.zara.com/in/en/double-breasted-technical-trench-coat-p05854300.html,132.67128,Trench coat made of technical fabric. Notch lapel collar and long sleeves. Hip flap pockets. Interior pocket detail. Matching belt in the same fabric. Central back vent at the hem. Front double-breasted button fastening.,Men,outerwear
21,GEOMETRIC JACQUARD DENIM JACKET,https://www.zara.com/in/en/geometric-jacquard-denim-jacket-p01538320.html,72.31128,Collared jacket with long sleeves and buttoned cuffs. Flap pockets on the chest and welt hip pockets. Faded effect. Button-up front.,Men,outerwear
22,CROPPED DENIM JACKET,https://www.zara.com/in/en/cropped-denim-jacket-p05520316.html,60.239279999999994,Faded cropped-fit collared jacket with long sleeves and buttoned cuffs. Patch pockets on the front. Irregular hem. Button-up front.,Men,outerwear
23,DENIM JACKET WITH IRREGULAR TRIMS,https://www.zara.com/in/en/denim-jacket-with-irregular-trims-p04365311.html,60.239279999999994,Round neck jacket with long sleeves and buttoned cuffs. Flap patch pockets on the chest and hip side pockets. Faded effect. Irregular trims. Cropped length. Button-up front hidden by a placket.,Men,outerwear
24,DENIM UTILITY GILET,https://www.zara.com/in/en/denim-utility-gilet-p01538305.html,60.239279999999994,Boxy fit sleeveless gilet. V-neck. Multi-purpose front pockets. Faded effect. Zip-up front hidden by a snap-button placket.,Men,outerwear
25,COLOURED ZIP-UP JACKET,https://www.zara.com/in/en/coloured-zip-up-jacket-p06917303.html,60.239279999999994,Collared jacket with long sleeves and buttoned cuffs. Patch pocket on the chest and inside pocket detail. Faded effect. Front zip fastening.,Men,outerwear
26,LIGHTWEIGHT BOMBER JACKET,https://www.zara.com/in/en/lightweight-bomber-jacket-p04302407.html,39.716879999999996,Lightweight jacket made of a technical fabric. Round neck and long sleeves. Hip welt pockets. Interior pocket detail. Ribbed trims. Front zip fastening.,Men,outerwear
27,FAUX SUEDE BOMBER JACKET,https://www.zara.com/in/en/faux-suede-bomber-jacket-p08574434.html,60.239279999999994,Lightweight jacket made of a faux suede fabric. High neck and long sleeves. Hip welt pockets. Ribbed trims. Front zip fastening.,Men,outerwear
28,FAUX SUEDE JACKET,https://www.zara.com/in/en/faux-suede-jacket-p06318400.html,60.239279999999994,Jacket with a ribbed collar. Long sleeves. Front welt pockets. Elastic hem. Zip-up front.,Men,outerwear
29,JACKET WITH POCKETS,https://www.zara.com/in/en/jacket-with-pockets-p04164401.html,91.62648,Faded regular-fit collared jacket with long sleeves and buttoned cuffs. Patch pockets with flaps at the hip. Button-up front.Origins special collection.View more,Men,outerwear
30,TECHNICAL BOMBER JACKET,https://www.zara.com/in/en/technical-bomber-jacket-p08281324.html,72.31128,Jacket made of technical fabric. High neck and long sleeves with pocket detail. Hip flap pockets. Ribbed trims. Hem that can be adjusted at the sides with a zip. Zip-up front.,Men,outerwear
31,JACKET WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/jacket-with-contrast-topstitching-p07505300.html,72.31128,Boxy-fit jacket. Lapel collar and long sleeves with elasticated cuffs. Patch pockets with flaps at the hip. Elasticated hem. Faded effect. Zip-up front.,Men,outerwear
32,DENIM JACKET WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/denim-jacket-with-contrast-topstitching-p06987325.html,60.239279999999994,Collared jacket featuring long sleeves with buttoned cuffs. Chest patch pockets and hip welt pockets. Contrast topstitching all over the garment. Button-up front fastening.,Men,outerwear
33,JACKET WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/jacket-with-contrast-topstitching-p06987326.html,60.239279999999994,Collared jacket made of textured cotton. Long sleeves with buttoned cuffs. Front patch pockets. Contrast topstitching detail all over the garment. Zip-up front.,Men,outerwear
34,FLORAL JACQUARD JACKET,https://www.zara.com/in/en/floral-jacquard-jacket-p07484304.html,91.62648,Relaxed-fit jacket with long sleeves and snap button cuffs. Patch pockets on the hip. Button-up front.,Men,outerwear
35,DIAMOND JACQUARD JACKET,https://www.zara.com/in/en/diamond-jacquard-jacket-p06861319.html,115.77047999999999,Quilted jacket featuring a lapel collar and long sleeves with buttoned cuffs. Hip flap pockets. Adjustable hem with drawstring on the front. Button-up front.,Men,outerwear
36,FLORAL JACQUARD JACKET,https://www.zara.com/in/en/floral-jacquard-jacket-p00706507.html,91.62648,Collared cropped jacket with long sleeves with snap-button cuffs. Featuring hip patch pockets with flaps and front snap-button fastening hidden by a snap-button placket.,Men,outerwear
37,JACKET WITH MAO COLLAR,https://www.zara.com/in/en/jacket-with-mao-collar-p06518300.html,72.31128,Jacket made of a cotton blend fabric. High neck and long sleeves. Hip welt pockets. Ribbed trims. Zip fastening on the front.,Men,outerwear
38,UTILITY JACKET WITH POCKETS,https://www.zara.com/in/en/utility-jacket-with-pockets-p05520366.html,60.239279999999994,Jacket made of lightweight cotton fabric. Adjustable high neck with drawstring. Long sleeves with snap-button cuffs. Patch pockets with flaps on the front and sleeves. Zip-up front hidden by a snap-button placket.,Men,outerwear
39,TECHNICAL JACKET WITH GRAPHICS,https://www.zara.com/in/en/technical-jacket-with-graphics-p06985350.html,91.62648,Jacket with a high neck and adjustable hood. Long sleeves with elastic cuffs. Hip pockets with zip fastening. Fabric lining with a mesh texture. Faded effect. Contrast prints on the front and back. Adjustable hem with elastic on the front. Zip-up front.View more,Men,outerwear
40,COLOUR BLOCK TECHNICAL JACKET,https://www.zara.com/in/en/colour-block-technical-jacket-p03918482.html,60.239279999999994,Jacket made of a lightweight technical fabric. High neck and long sleeves with elasticated cuffs. Front hip pockets. Elasticated hem. Front zip fastening.,Men,outerwear
41,TEXTURED WEAVE TECHNICAL JACKET,https://www.zara.com/in/en/textured-weave-technical-jacket-p04391403.html,72.31128,"Oversize-fit jacket made of technical fabric with ripstop texture, resistant to tearing. High neck and long sleeves. Fabric lining with a mesh texture. Hip welt pockets. Elasticated trims. Zip-up front.",Men,outerwear
42,TECHNICAL JACKET,https://www.zara.com/in/en/technical-jacket-p01538301.html,60.239279999999994,Jacket with a high neck and an adjustable hood. Long cuffed sleeves with hook-and-loop straps. Zip pockets on the chest and hip. Zip-up front.,Men,outerwear
43,TEXTURED COTTON GILET,https://www.zara.com/in/en/textured-cotton-gilet-p06987321.html,48.16728,Gilet with lightly padded interior. Elastic collar. Front pouch pockets. Faded effect. Zip-up front.,Men,outerwear
44,BASIC BOMBER JACKET,https://www.zara.com/in/en/basic-bomber-jacket-p04302410.html,48.16728,Jacket with a ribbed collar and long sleeves. Hip welt pockets and an inside pocket detail. Elastic hem. Zip-up front.,Men,outerwear
45,GILET WITH RUBBERISED FINISH,https://www.zara.com/in/en/gilet-with-rubberised-finish-p08574440.html,39.716879999999996,Puffer gilet made of fabric with a rubberised finish. High neck. Front welt pockets. Front zip fastening.,Men,outerwear
46,100% LINEN JACKET,https://www.zara.com/in/en/100-linen-jacket-p01437149.html,91.62648,Jacket made of linen. Lapel collar and long sleeves with buttoned cuffs. Hip welt pockets. Elasticated hem. Button-up front.,Men,outerwear
47,100% LINEN WAISTCOAT,https://www.zara.com/in/en/100-linen-waistcoat-p07380677.html,60.239279999999994,Linen waistcoat. V-neckline and no sleeves. Welt pockets at the waist. Button-up front.,Men,outerwear
48,COTTON JACKET,https://www.zara.com/in/en/cotton-jacket-p00706301.html,91.62648,Collared jacket with long sleeves and elasticated cuffs. Patch pockets at the hip. Elasticated hem. Fastens down the front with snap buttons.,Men,outerwear
49,FAUX SUEDE BOXY FIT JACKET,https://www.zara.com/in/en/faux-suede-boxy-fit-jacket-p03548304.html,60.239279999999994,Boxy fit collared jacket featuring long sleeves with buttoned cuffs. Flap pockets on the chest and welt pockets at the hip. Button-up front.,Men,outerwear
50,LIGHT PADDED JACKET,https://www.zara.com/in/en/light-padded-jacket-p08574661.html,39.716879999999996,Puffer jacket with a high neck and long sleeves. Hip pockets and an inside pocket detail. Front zip fastening.,Men,outerwear
51,LIGHTWEIGHT QUILTED GILET,https://www.zara.com/in/en/lightweight-quilted-gilet-p04302535.html,36.095279999999995,Gilet with a high neck. Hip welt pockets and a zip-up front.,Men,outerwear
52,SATIN BOMBER JACKET - LIMITED EDITION,https://www.zara.com/in/en/satin-bomber-jacket---limited-edition-p03833303.html,91.62648,Varsity jacket with a slightly padded interior. Ribbed collar and long sleeves with elastic cuffs. Hip welt pockets and interior pocket detail. Adjustable hem with elastic. Front zip fastening.,Men,outerwear
54,RUBBERISED JACKET - LIMITED EDITION,https://www.zara.com/in/en/rubberised-jacket---limited-edition-p03918310.html,103.69847999999999,Jacket made of a fabric with a rubberised finish. Lapel collar in contrast corduroy fabric. Long sleeves featuring adjustable cuffs with tabs. Patch pockets with flaps on the hip and inner pocket detail. Adjustable hem with elastic at the sides. Front zip fastening hidden by a snap-button placket.View more,Men,outerwear
55,TECHNICAL JACKET - LIMITED EDITION,https://www.zara.com/in/en/technical-jacket---limited-edition-p08281319.html,91.62648,Jacket with a high neck with adjustable drawstring and long sleeves with elasticated cuffs. Patch pockets with flaps at the hip. Adjustable hem with side drawstrings. Zip-up front hidden by a snap-button placket.,Men,outerwear
56,LIGHT PADDED JACKET,https://www.zara.com/in/en/light-padded-jacket-p04302520.html,48.16728,Puffer jacket made of a technical fabric. High neck and long sleeves. Hip welt pockets. Elastic trims. Front zip fastening.,Men,outerwear
57,BOXY FIT JACKET WITH TOPSTITCHING,https://www.zara.com/in/en/boxy-fit-jacket-with-topstitching-p00706555.html,91.62648,Collared boxy-fit jacket made of textured cotton. Long sleeves with buttoned cuffs. Patch pockets with flaps on the hip. Contrast topstitching detail all over the garment. Button-up front.,Men,outerwear
58,BOXY FIT TECHNICAL JACKET,https://www.zara.com/in/en/boxy-fit-technical-jacket-p09621640.html,72.31128,Jacket made of lightweight technical fabric. High neck. Long sleeves with elasticated cuffs and adjustable tabs. Patch pockets with flaps on the hip. Zip-up front hidden by a snap-button placket.,Men,outerwear
59,LYOCELL JACKET,https://www.zara.com/in/en/lyocell-jacket-p05707453.html,91.62648,Jacket made of lyocell. Lapel collar and long sleeves with buttoned cuffs. Patch pockets on the hip. Button-up front.,Men,outerwear
60,CROPPED BOMBER JACKET,https://www.zara.com/in/en/cropped-bomber-jacket-p00706571.html,91.62648,Jacket made of a cotton blend fabric. High neck and long sleeves. Hip welt pockets. Ribbed trims. Cropped length. Zip-up front hidden by a snap-button placket.,Men,outerwear
61,REFLECTIVE EFFECT JACKET,https://www.zara.com/in/en/reflective-effect-jacket-p01732314.html,91.62648,Jacket made of a very lightweight and reflective technical fabric.- High neck with stow-away hood on the inside.- Long sleeves with elastic cuffs.- Thermo-sealed inner seams.- Pocket with autolock zip fastening on the chest and hip pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more,Men,outerwear
62,TECHNICAL ANORAK WINDBREAKER,https://www.zara.com/in/en/technical-anorak-windbreaker-p01732312.html,72.31128,Anorak windbreaker made of very lightweight technical fabric. - High neck with adjustable hood and autolock zip fastening at the front. - Long sleeves with elastic cuffs.- Pocket with a zip on the chest.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more,Men,outerwear
63,TECHNICAL WINDBREAKER JACKET,https://www.zara.com/in/en/technical-windbreaker-jacket-p01732313.html,72.31128,Jacket made of very lightweight technical fabric. - High neck with adjustable hood. - Long sleeves featuring adjustable cuffs with tabs.- Hip welt pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more,Men,outerwear
64,LINEN - COTTON OVERSHIRT,https://www.zara.com/in/en/linen---cotton-overshirt-p02675478.html,72.31128,Relaxed fit collared overshirt made of a linen and cotton blend fabric. Featuring long sleeves with buttoned cuffs. Hip flap pockets. Button-up front.,Men,outerwear
65,HOODED TECHNICAL JACKET,https://www.zara.com/in/en/hooded-technical-jacket-p04302413.html,60.239279999999994,Technical fabric jacket. High neck with adjustable hood. Long sleeves. Zip pockets on the chest and hip. Lining with mesh textured fabric. Elasticated trims. Zip-up front.,Men,outerwear
66,PADDED JACKET WITH POCKETS,https://www.zara.com/in/en/padded-jacket-with-pockets-p04088242.html,91.62648,"Padded jacket with a high neck and long sleeves, Front patch pockets. Adjustable hem with matching drawstrings. Front zip fastening.",Women,outerwear
67,WOOL BOMBER JACKET WITH ZIP,https://www.zara.com/in/en/wool-bomber-jacket-with-zip-p02893108.html,91.62648,Bomber jacket made of 100% wool. Featuring a V-neckline and long sleeves. Front pockets. Ribbed trims. Metal zip fastening at the front.,Women,outerwear
68,SATIN KIMONO,https://www.zara.com/in/en/satin-kimono-p01131805.html,39.716879999999996,"Kimono made of satin fabric. Featuring a crossover V-neckline, long sleeves with vents and crossover fastening with tied detail in the same fabric",Women,outerwear
69,TRANSPARENT CROPPED JACKET,https://www.zara.com/in/en/transparent-cropped-jacket-p01255817.html,60.239279999999994,"Transparent collared water-repellent jacket. Featuring long sleeves with tabs on the shoulders. Front pockets with zips, a belt in the same material with a rubberised buckle and crossover zip fastening at the front.",Women,outerwear
70,SATIN FOIL BOMBER JACKET,https://www.zara.com/in/en/satin-foil-bomber-jacket-p08495350.html,60.239279999999994,Bomber jacket made of metallic satin fabric. Round neck and long sleeves with elastic cuffs. Front welt pockets. Elastic hem. Contrast lining. Front fastening with metal zip.,Women,outerwear
71,WORN EFFECT LEATHER EFFECT BIKER JACKET,https://www.zara.com/in/en/worn-effect-leather-effect-biker-jacket-p04341726.html,72.31128,Distressed effect jacket with a lapel collar and long sleeves. Zip details on the front and shoulder tabs. Wrap front with zip fastening.,Women,outerwear
72,OVERSIZE TRENCH COAT WITH POCKETS,https://www.zara.com/in/en/oversize-trench-coat-with-pockets-p02731259.html,91.62648,Collared trench coat made of a cotton blend. Featuring long flared sleeves. Front patch pockets. Back vent at the hem. Button-up front.,Women,outerwear
73,FAUX SUEDE TRENCH COAT,https://www.zara.com/in/en/faux-suede-trench-coat-p04968223.html,60.239279999999994,Trench coat made of faux suede fabric. Lapel collar and long sleeves with tabs on the cuffs and shoulders. Side pockets. Belt in the same fabric with a contrast buckle. Double-breasted button fastening at the front.,Women,outerwear
74,SOFT SHORT JACKET,https://www.zara.com/in/en/soft-short-jacket-p03046260.html,39.716879999999996,Long sleeve collared jacket. Front patch pockets with flaps and snap-button fastening at the front.,Women,outerwear
75,RUSTIC BOMBER JACKET,https://www.zara.com/in/en/rustic-bomber-jacket-p05584454.html,60.239279999999994,"Bomber jacket made of a cotton blend. Featuring a round neckline, long sleeves and cutwork fabric. Matching ribbed trims and metal zip fastening at the front.",Women,outerwear
76,LINEN BLEND PLEATED BOMBER JACKET,https://www.zara.com/in/en/linen-blend-pleated-bomber-jacket-p02712468.html,72.31128,Short collared bomber jacket made of a linen blend. Long sleeves. Front welt pockets. Elastic hem with pleats. Matching lining. Zip-up front hidden by a placket.,Women,outerwear
77,WORN EFFECT LEATHER EFFECT BOMBER JACKET,https://www.zara.com/in/en/worn-effect-leather-effect-bomber-jacket-p06318223.html,72.31128,Worn effect bomber jacket with a round neckline and long cuffed sleeves. Front welt pockets. Front fastening with metal zip.,Women,outerwear
78,OVERSIZE QUILTED BOMBER JACKET,https://www.zara.com/in/en/oversize-quilted-bomber-jacket-p04088243.html,91.62648,Loose-fitting bomber jacket with a round neck and long sleeves. Front flap pockets with snap buttons. Matching ribbed trims. Front zip and snap-button fastening.,Women,outerwear
79,DISTRESSED LEATHER EFFECT TRENCH COAT,https://www.zara.com/in/en/distressed-leather-effect-trench-coat-p06318222.html,115.77047999999999,Distressed effect trench coat with a lapel collar. Long sleeves with tabs on the cuffs and shoulders. Side pockets. Tied belt in the same fabric. Double-breasted button fastening at the front.,Women,outerwear
80,WORN EFFECT CROPPED LEATHER EFFECT BIKER JACKET,https://www.zara.com/in/en/worn-effect-cropped-leather-effect-biker-jacket-p06318232.html,72.31128,Distressed effect jacket with a lapel collar and long sleeves. Shoulder tabs. False front zip pocket. Belt detail at the hem. Wrap front with zip fastening.,Women,outerwear
81,NEOPRENE-EFFECT JACKET,https://www.zara.com/in/en/neoprene-effect-jacket-p08073221.html,60.239279999999994,Hooded longline jacket with long cuffed sleeves. Front patch pockets and metal zip fastening at the front.,Women,outerwear
82,TRF DENIM CROPPED JACKET,https://www.zara.com/in/en/trf-denim-cropped-jacket-p08197295.html,48.16728,Collared jacket featuring long sleeves with cuffs. Front patch pockets. Ripped details. Seamless hem. Metal button fastening on the front.,Women,outerwear
83,WORN EFFECT LEATHER EFFECT BIKER JACKET,https://www.zara.com/in/en/worn-effect-leather-effect-biker-jacket-p03046222.html,72.31128,"Distressed effect jacket with a lapel collar and long sleeves. Featuring front zip pockets, crossover zip fastening at the front and a belt at the hem.",Women,outerwear
84,TRF RIPPED CROPPED DENIM JACKET,https://www.zara.com/in/en/trf-ripped-cropped-denim-jacket-p04365271.html,39.716879999999996,Cropped collared jacket featuring long drop-shoulder sleeves with elasticated cuffs. Faded fabric with rips. Front fastening with metal zip.,Women,outerwear
85,HIGH NECK TEXTURED BLAZER,https://www.zara.com/in/en/high-neck-textured-blazer-p08001513.html,72.31128,Blazer featuring a high neck and long sleeves with padded shoulders. False flap pockets and front patch pockets. Front hook fastening.,Women,outerwear
86,SATIN BOMBER JACKET,https://www.zara.com/in/en/satin-bomber-jacket-p07854591.html,48.16728,Bomber jacket with a round neckline and long sleeves. Front flap pockets and a zipped sleeve pocket. Elasticated trims. Front fastening with metal zip.,Women,outerwear
87,ZW RHINESTONE DENIM JACKET,https://www.zara.com/in/en/zw-rhinestone-denim-jacket-p06045244.html,103.69847999999999,ZW ZARA WOMANCollared denim jacket with long sleeves. Chest patch pockets with buttoned flaps. Rhinestone appliqués. Button-up front.,Women,outerwear
88,DENIM JACKET WITH PATCH POCKETS,https://www.zara.com/in/en/denim-jacket-with-patch-pockets-p00108042.html,36.095279999999995,Jacket with a lapel collar and long sleeves. Front patch pockets. Metal button fastenings on the front.,Women,outerwear
89,ZW OVERSIZE DENIM JACKET,https://www.zara.com/in/en/zw-oversize-denim-jacket-p01213244.html,48.16728,ZW ZARA WOMANLoose-fitting denim jacket featuring a lapel collar and long sleeves with cuffs. Side pockets and chest patch pockets with buttoned flaps. Faded effect. Fastens at the front with metallic buttons.View more,Women,outerwear
90,Z1975 CROPPED METALLIC DENIM JACKET,https://www.zara.com/in/en/z1975-cropped-metallic-denim-jacket-p06164190.html,60.239279999999994,Collared metallic jacket with long sleeves. Featuring front patch pockets with flaps and button fastening at the front.,Women,outerwear
91,CROPPED WAXED TRENCH COAT,https://www.zara.com/in/en/cropped-waxed-trench-coat-p04432832.html,72.31128,Cropped trench coat featuring a high neck with tab and metal buckle. Long sleeves with shoulder pads and tabs on the cuffs. Front pockets. Matching lining. Button-up front.,Women,outerwear
92,STRIPE TEXTURED BLAZER,https://www.zara.com/in/en/stripe-textured-blazer-p08341112.html,72.31128,Lapelless blazer with long sleeves and shoulder pads. Front patch pockets. Metal hook fastening at the front.,Women,outerwear
93,FAUX LEATHER BIKER JACKET,https://www.zara.com/in/en/faux-leather-biker-jacket-p03046060.html,60.239279999999994,"Collared jacket with long sleeves and shoulder tabs. Featuring front zip pockets, a hem featuring a matching belt with metal buckle and front crossover zip fastening.",Women,outerwear
94,SHORT DOUBLE-BREASTED TRENCH COAT,https://www.zara.com/in/en/short-double-breasted-trench-coat-p07999818.html,72.31128,Short trench coat featuring a lapel collar and long sleeves with buttons. Front welt pockets. Double-breasted button fastening on the front.,Women,outerwear
95,FAUX LEATHER OVERSIZE JACKET,https://www.zara.com/in/en/faux-leather-oversize-jacket-p03427811.html,72.31128,"Jacket with a lapel collar and long sleeves. Featuring front pockets with metal zip, shoulder tabs, belt in the same fabric with buckle and metal zip-up fastening on the front.",Women,outerwear
96,SNAKESKIN PRINT PUFFER JACKET,https://www.zara.com/in/en/snakeskin-print-puffer-jacket-p08147803.html,48.16728,Jacket with a round neck and long sleeves. Front welt pockets. Snap-button fastenings on the front.,Women,outerwear
97,Z1975 DENIM OVERSHIRT WITH PATCH POCKETS,https://www.zara.com/in/en/z1975-denim-overshirt-with-patch-pockets-p06147165.html,60.239279999999994,Collared overshirt with long sleeves. Front patch pockets. Side vents at the hem. Front metal button fastening.,Women,outerwear
98,CROPPED BOMBER JACKET,https://www.zara.com/in/en/cropped-bomber-jacket-p07893502.html,60.239279999999994,Bomber jacket featuring a round neck and long sleeves with cuffs. Jetted pockets on the front. Front snap-button fastenings.,Women,outerwear
99,TRF DENIM CROPPED JACKET,https://www.zara.com/in/en/trf-denim-cropped-jacket-p08197257.html,39.716879999999996,Jacket featuring a lapel collar and long sleeves with cuffs. Pockets on the front and on the arm. Tab details at the back. Seamless hem. Front metal button fastening.,Women,outerwear
100,SHIRT BOMBER JACKET,https://www.zara.com/in/en/shirt-bomber-jacket-p07102220.html,39.716879999999996,Collared bomber jacket featuring long sleeves. Front welt pockets. Elasticated hem. Front fastening with metal zip.,Women,outerwear
101,OVERSIZE SHORT TRENCH COAT,https://www.zara.com/in/en/oversize-short-trench-coat-p04432706.html,72.31128,Trench coat with a lapel collar and a crossover neckline. Long sleeves with tabs. Belt with contrast buckle at the hem. Front button fastening.,Women,outerwear
102,MAXI BOMBER JACKET WITH POCKETS,https://www.zara.com/in/en/maxi-bomber-jacket-with-pockets-p03736245.html,91.62648,Cropped bomber jacket with a round neck and long sleeves. Front maxi patch pockets with flaps. Lining. Matching ribbed trims. Front snap-button fastening.,Women,outerwear
103,SATIN TRENCH COAT,https://www.zara.com/in/en/satin-trench-coat-p08403260.html,60.239279999999994,Flowing trench coat with a lapel collar and long sleeves.,Women,outerwear
104,PRINTED OVERSIZE LINEN BLEND JACKET,https://www.zara.com/in/en/printed-oversize-linen-blend-jacket-p04432721.html,60.239279999999994,Jacket made of a linen blend fabric. Lapel collar and long cuffed sleeves. Side pockets and chest patch pockets. Front metal button fastening.,Women,outerwear
105,SATIN BOMBER JACKET WITH TOPSTITCHING,https://www.zara.com/in/en/satin-bomber-jacket-with-topstitching-p01058407.html,60.239279999999994,Satin bomber jacket with a round neck and long sleeves. Front pockets. Contrast pronounced topstitching detail. Metal zip and snap-button fastening at the front.,Women,outerwear
